interceptCol,interceptRow,interceptZ,opponentCol,opponentRow,defensiveCol,defensiveRow,bounceCol,bounceRow,apexHeight,spinTopRpm,spinSideRpm,initialVelocity,airTravelDistance,netClearance,downhillSpeed,wins,winner,pointShotCount,winShotCount
9,4,3.3,5,24,8,4,5,17,3.3,-1500,1000,44.7,21.2,0.15,44.704,1,False,7,7
3,24,1.25,8,4,8,23,7,11,2.4,-1500,-2000,20.61,20.32,0.25,0.0,0,False,7,0
7,9,0.6,8,23,10,8,10,14,2.7,0,-2000,8.97,9.79,0.05,0.0,1,False,7,7
11,16,1.0,10,8,7,21,10,5,1.5,1500,-2000,20.02,16.02,0.22,0.0,0,False,7,0
10,9,1.25,7,21,8,11,8,19,2.4,-3000,2000,13.84,14.59,1.21,0.0,1,False,7,7
9,16,1.5,8,11,6,18,5,5,2.1,2500,2000,18.62,17.49,1.1,0.0,0,False,7,0
7,11,2.1,6,18,8,11,10,20,2.1,1500,2000,44.7,13.28,0.73,44.704,1,True,7,7
7,4,2.7,10,22,8,4,8,15,3.3,2500,2000,14.45,17.7,-0.04,0.0,0,False,2,0
8,16,0.6,8,4,10,19,5,6,1.5,-3000,1000,18.31,15.17,0.47,0.0,1,True,2,2
9,5,2.7,5,23,8,4,5,18,2.7,-3000,1000,58.12,20.26,0.13,58.1152,1,False,3,3
4,22,0.6,8,4,5,20,10,12,2.1,1500,-1000,15.61,16.02,0.22,0.0,0,False,3,0
13,9,1.0,5,20,8,6,9,22,1.25,-3000,1000,32.46,19.27,0.07,0.0,1,True,3,3
7,4,2.7,10,24,8,4,8,18,3.6,2500,-1000,17.52,21.7,1.57,0.0,1,False,3,3
8,19,0.3,8,4,9,17,5,13,6.0,1500,-1000,12.34,15.39,1.31,0.0,0,False,3,0
5,11,2.4,9,17,8,5,6,21,2.4,2500,1000,44.7,15.14,0.9,44.704,1,True,3,3
8,5,3.0,5,24,8,4,5,17,3.0,-3000,1000,31.29,19.09,0.26,31.2928,0,False,4,0
4,21,1.0,8,4,7,21,6,12,2.4,-3000,1000,12.68,13.71,0.3,0.0,1,False,4,4
6,11,0.6,7,21,7,9,5,21,3.3,3500,0,12.95,16.09,1.63,0.0,0,False,4,0
6,16,3.3,7,9,7,21,9,10,3.3,-3000,-2000,31.29,12.54,0.92,31.2928,1,True,4,4
6,4,3.0,10,23,8,4,10,18,3.0,0,0,51.41,21.6,0.17,51.4096,1,False,3,3
11,22,1.0,8,4,10,19,5,6,2.4,1500,1000,23.0,23.27,1.2,0.0,0,False,3,0
5,5,0.6,10,19,8,7,5,20,1.25,-1500,2000,27.21,20.18,0.35,0.0,1,True,3,3
9,4,2.7,5,24,8,4,5,17,2.7,-1500,-2000,38.0,20.58,0.08,37.9984,1,False,5,5
4,22,1.0,8,4,6,19,5,5,3.6,3500,-2000,18.52,23.59,2.41,0.0,0,False,5,0
5,9,2.4,6,19,6,12,10,17,10.0,0,1000,15.04,25.62,8.36,0.0,1,False,5,5
10,16,3.3,6,12,6,19,6,11,3.3,-3000,1000,44.7,12.4,0.64,44.704,0,False,5,0
6,11,0.6,6,19,6,13,10,22,2.1,-3000,-1000,16.14,16.06,0.38,0.0,1,True,5,5
6,4,3.0,10,24,8,4,10,17,3.0,-3000,2000,38.0,20.41,0.08,37.9984,0,False,2,0
11,22,1.0,8,4,9,21,5,6,1.8,1500,-2000,28.23,23.64,0.75,0.0,1,True,2,2
8,5,2.7,5,24,8,4,7,18,2.7,2500,2000,38.0,19.52,0.22,37.9984,1,False,3,3
7,22,1.0,8,4,5,20,5,5,2.7,3500,-2000,21.73,24.14,1.85,0.0,0,False,3,0
5,8,1.8,5,20,8,8,10,17,3.0,3500,2000,13.38,16.42,1.62,0.0,1,True,3,3
7,5,3.0,10,24,8,4,8,17,3.0,-1500,-1000,38.0,18.47,0.1,37.9984,0,False,2,0
8,22,1.0,8,4,8,22,5,10,1.5,1500,0,21.42,17.03,0.17,0.0,1,True,2,2
